filename,path,contour_type,true_contour_quadrant,contrast,position,jitter,stimulus_id
C_BL_0_J000_000.png,/home/yentl/pytorch_gammanet/Images_jitter_final/C_BL_0_J000_000.png,C,BL,NA,0,0,0
C_BL_0_J000_001.png,/home/yentl/pytorch_gammanet/Images_jitter_final/C_BL_0_J000_001.png,C,BL,NA,0,0,1
C_BL_0_J000_002.png,/home/yentl/pytorch_gammanet/Images_jitter_final/C_BL_0_J000_002.png,C,BL,NA,0,0,2
C_BL_0_J000_003.png,/home/yentl/pytorch_gammanet/Images_jitter_final/C_BL_0_J000_003.png,C,BL,NA,0,0,3
C_BL_0_J000_004.png,/home/yentl/pytorch_gammanet/Images_jitter_final/C_BL_0_J000_004.png,C,BL,NA,0,0,4
C_BL_0_J000_005.png,/home/yentl/pytorch_gammanet/Images_jitter_final/C_BL_0_J000_005.png,C,BL,NA,0,0,5
C_BL_0_J010_000.png,/home/yentl/pytorch_gammanet/Images_jitter_final/C_BL_0_J010_000.png,C,BL,NA,0,10,0
C_BL_0_J010_001.png,/home/yentl/pytorch_gammanet/Images_jitter_final/C_BL_0_J010_001.png,C,BL,NA,0,10,1
C_BL_0_J010_002.png,/home/yentl/pytorch_gammanet/Images_jitter_final/C_BL_0_J010_002.png,C,BL,NA,0,10,2
C_BL_0_J010_003.png,/home/yentl/pytorch_gammanet/Images_jitter_final/C_BL_0_J010_003.png,C,BL,NA,0,10,3
C_BL_0_J010_004.png,/home/yentl/pytorch_gammanet/Images_jitter_final/C_BL_0_J010_004.png,C,BL,NA,0,10,4
C_BL_0_J010_005.png,/home/yentl/pytorch_gammanet/Images_jitter_final/C_BL_0_J010_005.png,C,BL,NA,0,10,5
C_BL_0_J020_000.png,/home/yentl/pytorch_gammanet/Images_jitter_final/C_BL_0_J020_000.png,C,BL,NA,0,20,0
C_BL_0_J020_001.png,/home/yentl/pytorch_gammanet/Images_jitter_final/C_BL_0_J020_001.png,C,BL,NA,0,20,1
C_BL_0_J020_002.png,/home/yentl/pytorch_gammanet/Images_jitter_final/C_BL_0_J020_002.png,C,BL,NA,0,20,2
C_BL_0_J020_003.png,/home/yentl/pytorch_gammanet/Images_jitter_final/C_BL_0_J020_003.png,C,BL,NA,0,20,3
C_BL_0_J020_004.png,/home/yentl/pytorch_gammanet/Images_jitter_final/C_BL_0_J020_004.png,C,BL,NA,0,20,4
C_BL_0_J020_005.png,/home/yentl/pytorch_gammanet/Images_jitter_final/C_BL_0_J020_005.png,C,BL,NA,0,20,5
C_BL_0_J030_000.png,/home/yentl/pytorch_gammanet/Images_jitter_final/C_BL_0_J030_000.png,C,BL,NA,0,30,0
C_BL_0_J030_001.png,/home/yentl/pytorch_gammanet/Images_jitter_final/C_BL_0_J030_001.png,C,BL,NA,0,30,1
C_BL_0_J030_002.png,/home/yentl/pytorch_gammanet/Images_jitter_final/C_BL_0_J030_002.png,C,BL,NA,0,30,2
C_BL_0_J030_003.png,/home/yentl/pytorch_gammanet/Images_jitter_final/C_BL_0_J030_003.png,C,BL,NA,0,30,3
C_BL_0_J030_004.png,/home/yentl/pytorch_gammanet/Images_jitter_final/C_BL_0_J030_004.png,C,BL,NA,0,30,4
C_BL_0_J030_005.png,/home/yentl/pytorch_gammanet/Images_jitter_final/C_BL_0_J030_005.png,C,BL,NA,0,30,5
C_BL_0_J040_000.png,/home/yentl/pytorch_gammanet/Images_jitter_final/C_BL_0_J040_000.png,C,BL,NA,0,40,0
