filename,path,contour_type,contrast,quadrant,position,jitter,stimulus_id
C_BL_0_J000_000.png,/home/yentl/pytorch_gammanet/Images_all_layers_final/C_BL_0_J000_000.png,C,NA,BL,0,0,0
C_BL_0_J000_001.png,/home/yentl/pytorch_gammanet/Images_all_layers_final/C_BL_0_J000_001.png,C,NA,BL,0,0,1
C_BL_0_J000_002.png,/home/yentl/pytorch_gammanet/Images_all_layers_final/C_BL_0_J000_002.png,C,NA,BL,0,0,2
C_BL_0_J000_003.png,/home/yentl/pytorch_gammanet/Images_all_layers_final/C_BL_0_J000_003.png,C,NA,BL,0,0,3
C_BL_0_J000_004.png,/home/yentl/pytorch_gammanet/Images_all_layers_final/C_BL_0_J000_004.png,C,NA,BL,0,0,4
C_BL_0_J000_005.png,/home/yentl/pytorch_gammanet/Images_all_layers_final/C_BL_0_J000_005.png,C,NA,BL,0,0,5
C_BL_0_J000_006.png,/home/yentl/pytorch_gammanet/Images_all_layers_final/C_BL_0_J000_006.png,C,NA,BL,0,0,6
C_BL_0_J000_007.png,/home/yentl/pytorch_gammanet/Images_all_layers_final/C_BL_0_J000_007.png,C,NA,BL,0,0,7
C_BL_0_J000_008.png,/home/yentl/pytorch_gammanet/Images_all_layers_final/C_BL_0_J000_008.png,C,NA,BL,0,0,8
C_BL_0_J000_009.png,/home/yentl/pytorch_gammanet/Images_all_layers_final/C_BL_0_J000_009.png,C,NA,BL,0,0,9
C_BL_0_J000_010.png,/home/yentl/pytorch_gammanet/Images_all_layers_final/C_BL_0_J000_010.png,C,NA,BL,0,0,10
C_BL_0_J000_011.png,/home/yentl/pytorch_gammanet/Images_all_layers_final/C_BL_0_J000_011.png,C,NA,BL,0,0,11
C_BL_0_J000_012.png,/home/yentl/pytorch_gammanet/Images_all_layers_final/C_BL_0_J000_012.png,C,NA,BL,0,0,12
C_BL_0_J000_013.png,/home/yentl/pytorch_gammanet/Images_all_layers_final/C_BL_0_J000_013.png,C,NA,BL,0,0,13
C_BL_0_J000_014.png,/home/yentl/pytorch_gammanet/Images_all_layers_final/C_BL_0_J000_014.png,C,NA,BL,0,0,14
C_BL_0_J000_015.png,/home/yentl/pytorch_gammanet/Images_all_layers_final/C_BL_0_J000_015.png,C,NA,BL,0,0,15
C_BL_0_J000_016.png,/home/yentl/pytorch_gammanet/Images_all_layers_final/C_BL_0_J000_016.png,C,NA,BL,0,0,16
C_BL_0_J000_017.png,/home/yentl/pytorch_gammanet/Images_all_layers_final/C_BL_0_J000_017.png,C,NA,BL,0,0,17
C_BL_0_J000_018.png,/home/yentl/pytorch_gammanet/Images_all_layers_final/C_BL_0_J000_018.png,C,NA,BL,0,0,18
C_BL_0_J000_019.png,/home/yentl/pytorch_gammanet/Images_all_layers_final/C_BL_0_J000_019.png,C,NA,BL,0,0,19
C_BL_0_J000_020.png,/home/yentl/pytorch_gammanet/Images_all_layers_final/C_BL_0_J000_020.png,C,NA,BL,0,0,20
