filename,path,contour_type,contrast,quadrant,position,jitter,stimulus_id
C_high_BL_0_J000_008.png,/home/yentl/pytorch_gammanet/Images_jitter/C_high_BL_0_J000_008.png,C,high,BL,0,0,008
C_high_BL_0_J001_011.png,/home/yentl/pytorch_gammanet/Images_jitter/C_high_BL_0_J001_011.png,C,high,BL,0,1,011
C_high_BL_0_J002_015.png,/home/yentl/pytorch_gammanet/Images_jitter/C_high_BL_0_J002_015.png,C,high,BL,0,2,015
C_high_BL_0_J003_012.png,/home/yentl/pytorch_gammanet/Images_jitter/C_high_BL_0_J003_012.png,C,high,BL,0,3,012
C_high_BL_0_J004_024.png,/home/yentl/pytorch_gammanet/Images_jitter/C_high_BL_0_J004_024.png,C,high,BL,0,4,024
C_high_BL_0_J005_022.png,/home/yentl/pytorch_gammanet/Images_jitter/C_high_BL_0_J005_022.png,C,high,BL,0,5,022
C_high_BL_0_J006_019.png,/home/yentl/pytorch_gammanet/Images_jitter/C_high_BL_0_J006_019.png,C,high,BL,0,6,019
C_high_BL_0_J007_010.png,/home/yentl/pytorch_gammanet/Images_jitter/C_high_BL_0_J007_010.png,C,high,BL,0,7,010
C_high_BL_0_J008_010.png,/home/yentl/pytorch_gammanet/Images_jitter/C_high_BL_0_J008_010.png,C,high,BL,0,8,010
C_high_BL_0_J009_001.png,/home/yentl/pytorch_gammanet/Images_jitter/C_high_BL_0_J009_001.png,C,high,BL,0,9,001
C_high_BL_0_J010_022.png,/home/yentl/pytorch_gammanet/Images_jitter/C_high_BL_0_J010_022.png,C,high,BL,0,10,022
C_high_BL_0_J011_015.png,/home/yentl/pytorch_gammanet/Images_jitter/C_high_BL_0_J011_015.png,C,high,BL,0,11,015
C_high_BL_0_J012_022.png,/home/yentl/pytorch_gammanet/Images_jitter/C_high_BL_0_J012_022.png,C,high,BL,0,12,022
C_high_BL_0_J013_010.png,/home/yentl/pytorch_gammanet/Images_jitter/C_high_BL_0_J013_010.png,C,high,BL,0,13,010
C_high_BL_0_J014_017.png,/home/yentl/pytorch_gammanet/Images_jitter/C_high_BL_0_J014_017.png,C,high,BL,0,14,017
C_high_BL_0_J015_019.png,/home/yentl/pytorch_gammanet/Images_jitter/C_high_BL_0_J015_019.png,C,high,BL,0,15,019
C_high_BL_0_J016_017.png,/home/yentl/pytorch_gammanet/Images_jitter/C_high_BL_0_J016_017.png,C,high,BL,0,16,017
C_high_BL_0_J017_012.png,/home/yentl/pytorch_gammanet/Images_jitter/C_high_BL_0_J017_012.png,C,high,BL,0,17,012
C_high_BL_0_J018_017.png,/home/yentl/pytorch_gammanet/Images_jitter/C_high_BL_0_J018_017.png,C,high,BL,0,18,017
C_high_BL_0_J019_024.png,/home/yentl/pytorch_gammanet/Images_jitter/C_high_BL_0_J019_024.png,C,high,BL,0,19,024
C_high_BL_0_J020_019.png,/home/yentl/pytorch_gammanet/Images_jitter/C_high_BL_0_J020_019.png,C,high,BL,0,20,019
C_high_BL_0_J021_024.png,/home/yentl/pytorch_gammanet/Images_jitter/C_high_BL_0_J021_024.png,C,high,BL,0,21,024
C_high_BL_0_J022_015.png,/home/yentl/pytorch_gammanet/Images_jitter/C_high_BL_0_J022_015.png,C,high,BL,0,22,015
C_high_BL_0_J023_003.png,/home/yentl/pytorch_gammanet/Images_jitter/C_high_BL_0_J023_003.png,C,high,BL,0,23,003
C_high_BL_0_J024_019.png,/home/yentl/pytorch_gammanet/Images_jitter/C_high_BL_0_J024_019.png,C,high,BL,0,24,019
C_high_BL_0_J025_022.png,/home/yentl/pytorch_gammanet/Images_jitter/C_high_BL_0_J025_022.png,C,high,BL,0,25,022
C_high_BL_0_J026_024.png,/home/yentl/pytorch_gammanet/Images_jitter/C_high_BL_0_J026_024.png,C,high,BL,0,26,024
C_high_BL_0_J027_012.png,/home/yentl/pytorch_gammanet/Images_jitter/C_high_BL_0_J027_012.png,C,high,BL,0,27,012
C_high_BL_0_J028_008.png,/home/yentl/pytorch_gammanet/Images_jitter/C_high_BL_0_J028_008.png,C,high,BL,0,28,008
C_high_BL_0_J029_012.png,/home/yentl/pytorch_gammanet/Images_jitter/C_high_BL_0_J029_012.png,C,high,BL,0,29,012
C_high_BL_0_J030_026.png,/home/yentl/pytorch_gammanet/Images_jitter/C_high_BL_0_J030_026.png,C,high,BL,0,30,026
C_high_BL_0_J031_009.png,/home/yentl/pytorch_gammanet/Images_jitter/C_high_BL_0_J031_009.png,C,high,BL,0,31,009
C_high_BL_0_J032_012.png,/home/yentl/pytorch_gammanet/Images_jitter/C_high_BL_0_J032_012.png,C,high,BL,0,32,012
C_high_BL_0_J033_027.png,/home/yentl/pytorch_gammanet/Images_jitter/C_high_BL_0_J033_027.png,C,high,BL,0,33,027
