filename,true_category,contrast,quadrant,position,jitter,predicted_category,correct,C_evidence,straight_evidence
C_high_BL_0_J000_008.png,C,high,BL,0,0,straight,False,2.8892433643341064,3.655862808227539
C_high_BL_0_J001_011.png,C,high,BL,0,1,straight,False,2.6110403537750244,3.1224937438964844
C_high_BL_0_J002_015.png,C,high,BL,0,2,straight,False,2.598700523376465,3.2922916412353516
C_high_BL_0_J003_012.png,C,high,BL,0,3,straight,False,2.733722686767578,2.9271178245544434
C_high_BL_0_J004_024.png,C,high,BL,0,4,C,True,3.289194345474243,2.92964506149292
C_high_BL_0_J005_022.png,C,high,BL,0,5,C,True,3.039799451828003,2.7484943866729736
C_high_BL_0_J006_019.png,C,high,BL,0,6,straight,False,2.9422993659973145,3.0438451766967773
C_high_BL_0_J007_010.png,C,high,BL,0,7,straight,False,2.647235631942749,3.4125165939331055
C_high_BL_0_J008_010.png,C,high,BL,0,8,straight,False,2.5081734657287598,3.4078123569488525
C_high_BL_0_J009_001.png,C,high,BL,0,9,straight,False,2.0168511867523193,2.8871243000030518
C_high_BL_0_J010_022.png,C,high,BL,0,10,C,True,3.0842020511627197,2.767796039581299
C_high_BL_0_J011_015.png,C,high,BL,0,11,straight,False,2.6764450073242188,3.2836217880249023
C_high_BL_0_J012_022.png,C,high,BL,0,12,C,True,2.875788927078247,2.7529513835906982
C_high_BL_0_J013_010.png,C,high,BL,0,13,straight,False,2.821188449859619,3.4061121940612793
C_high_BL_0_J014_017.png,C,high,BL,0,14,straight,False,2.435004711151123,2.933945417404175
C_high_BL_0_J015_019.png,C,high,BL,0,15,straight,False,2.8082275390625,3.01825213432312
C_high_BL_0_J016_017.png,C,high,BL,0,16,straight,False,2.504808187484741,2.9308900833129883
C_high_BL_0_J017_012.png,C,high,BL,0,17,straight,False,2.0083065032958984,2.8931922912597656
C_high_BL_0_J018_017.png,C,high,BL,0,18,straight,False,2.634284257888794,2.9154489040374756
C_high_BL_0_J019_024.png,C,high,BL,0,19,straight,False,2.497081756591797,2.911778450012207
C_high_BL_0_J020_019.png,C,high,BL,0,20,straight,False,2.1536483764648438,3.026535987854004
C_high_BL_0_J021_024.png,C,high,BL,0,21,straight,False,2.9114553928375244,2.920377016067505
C_high_BL_0_J022_015.png,C,high,BL,0,22,straight,False,2.4822263717651367,3.267223358154297
C_high_BL_0_J023_003.png,C,high,BL,0,23,straight,False,3.092663049697876,3.113252878189087
C_high_BL_0_J024_019.png,C,high,BL,0,24,straight,False,1.7708195447921753,3.0270023345947266
C_high_BL_0_J025_022.png,C,high,BL,0,25,straight,False,2.4272303581237793,2.7473461627960205
C_high_BL_0_J026_024.png,C,high,BL,0,26,straight,False,2.6600286960601807,2.9095966815948486
