filename,path,true_category,contrast,quadrant,jitter,predicted_category,evidence_C,evidence_straight,output_score_global,correct_readout
C_high_BL_0_J000_008.png,/home/yentl/pytorch_gammanet/Images/C_high_BL_0_J000_008.png,C,high,BL,0,straight,2.8892433643341064,3.655862808227539,0.07469023019075394,False
C_high_BL_0_J001_011.png,/home/yentl/pytorch_gammanet/Images/C_high_BL_0_J001_011.png,C,high,BL,1,straight,2.6110403537750244,3.1224937438964844,0.08322285860776901,False
C_high_BL_0_J002_015.png,/home/yentl/pytorch_gammanet/Images/C_high_BL_0_J002_015.png,C,high,BL,2,straight,2.598700523376465,3.2922916412353516,0.07696498930454254,False
C_high_BL_0_J003_012.png,/home/yentl/pytorch_gammanet/Images/C_high_BL_0_J003_012.png,C,high,BL,3,straight,2.733722686767578,2.9271178245544434,0.0770169273018837,False
C_high_BL_0_J004_024.png,/home/yentl/pytorch_gammanet/Images/C_high_BL_0_J004_024.png,C,high,BL,4,C,3.289194345474243,2.92964506149292,0.07640638202428818,True
C_high_BL_0_J005_022.png,/home/yentl/pytorch_gammanet/Images/C_high_BL_0_J005_022.png,C,high,BL,5,C,3.039799451828003,2.7484943866729736,0.08003020286560059,True
C_high_BL_0_J006_019.png,/home/yentl/pytorch_gammanet/Images/C_high_BL_0_J006_019.png,C,high,BL,6,straight,2.9422993659973145,3.0438451766967773,0.08470922708511353,False
C_high_BL_0_J007_010.png,/home/yentl/pytorch_gammanet/Images/C_high_BL_0_J007_010.png,C,high,BL,7,straight,2.647235631942749,3.4125165939331055,0.07712524384260178,False
C_high_BL_0_J008_010.png,/home/yentl/pytorch_gammanet/Images/C_high_BL_0_J008_010.png,C,high,BL,8,straight,2.5081734657287598,3.4078123569488525,0.07760737091302872,False
C_high_BL_0_J009_001.png,/home/yentl/pytorch_gammanet/Images/C_high_BL_0_J009_001.png,C,high,BL,9,straight,2.0168511867523193,2.8871243000030518,0.07352564483880997,False
C_high_BL_0_J010_022.png,/home/yentl/pytorch_gammanet/Images/C_high_BL_0_J010_022.png,C,high,BL,10,C,3.0842020511627197,2.767796039581299,0.07964405417442322,True
C_high_BL_0_J011_015.png,/home/yentl/pytorch_gammanet/Images/C_high_BL_0_J011_015.png,C,high,BL,11,straight,2.6764450073242188,3.2836217880249023,0.07701759040355682,False
C_high_BL_0_J012_022.png,/home/yentl/pytorch_gammanet/Images/C_high_BL_0_J012_022.png,C,high,BL,12,C,2.875788927078247,2.7529513835906982,0.08023485541343689,True
C_high_BL_0_J013_010.png,/home/yentl/pytorch_gammanet/Images/C_high_BL_0_J013_010.png,C,high,BL,13,straight,2.821188449859619,3.4061121940612793,0.07608440518379211,False
C_high_BL_0_J014_017.png,/home/yentl/pytorch_gammanet/Images/C_high_BL_0_J014_017.png,C,high,BL,14,straight,2.435004711151123,2.933945417404175,0.07914300262928009,False
C_high_BL_0_J015_019.png,/home/yentl/pytorch_gammanet/Images/C_high_BL_0_J015_019.png,C,high,BL,15,straight,2.8082275390625,3.01825213432312,0.08583755791187286,False
C_high_BL_0_J016_017.png,/home/yentl/pytorch_gammanet/Images/C_high_BL_0_J016_017.png,C,high,BL,16,straight,2.504808187484741,2.9308900833129883,0.07944267988204956,False
C_high_BL_0_J017_012.png,/home/yentl/pytorch_gammanet/Images/C_high_BL_0_J017_012.png,C,high,BL,17,straight,2.0083065032958984,2.8931922912597656,0.07920867949724197,False
C_high_BL_0_J018_017.png,/home/yentl/pytorch_gammanet/Images/C_high_BL_0_J018_017.png,C,high,BL,18,straight,2.634284257888794,2.9154489040374756,0.07962415367364883,False
C_high_BL_0_J019_024.png,/home/yentl/pytorch_gammanet/Images/C_high_BL_0_J019_024.png,C,high,BL,19,straight,2.497081756591797,2.911778450012207,0.07788167148828506,False
C_high_BL_0_J020_019.png,/home/yentl/pytorch_gammanet/Images/C_high_BL_0_J020_019.png,C,high,BL,20,straight,2.1536483764648438,3.026535987854004,0.08636852353811264,False
C_high_BL_0_J021_024.png,/home/yentl/pytorch_gammanet/Images/C_high_BL_0_J021_024.png,C,high,BL,21,straight,2.9114553928375244,2.920377016067505,0.07695275545120239,False
